Material,Second Derivative
38-0669-03,-0.011918051478037026
38-0669-03,0.0
38-0669-03,0.011036593665730982
38-0669-03,3.692537775915155e-17
38-0669-03,-0.010276541738174277
38-0669-03,0.009934465641650589
38-0669-03,-0.009614429335546798
38-0669-03,0.0
38-0669-03,0.0
38-0669-03,0.008767110477281502
38-0669-03,-2.9549003111119815e-17
38-0669-03,-0.008280613427842714
38-0669-03,0.0
38-0669-03,0.0
38-0669-03,0.0076443248532289685
38-0669-03,-0.00745341614906833
38-0669-03,0.0
38-0669-03,0.0
38-0669-03,0.0
38-0669-03,0.006776475690522878
38-0669-03,-0.006626027034190306
38-0669-03,0.0
38-0669-03,0.0
38-0669-03,0.0
38-0669-03,0.0
38-0669-03,0.005963965719125053
38-0669-03,-0.005847121169892009
38-0669-03,0.0
38-0669-03,0.0
38-0669-03,0.0
38-0669-03,0.00542219956947734
38-0669-03,-0.00532544693813427
38-0669-03,0.0
38-0669-03,0.0
38-0669-03,0.0
38-0669-03,0.0
38-0669-03,0.0
38-0669-03,0.004810421296697169
38-0669-03,-0.0047339817836381005
38-0669-03,0.0
38-0669-03,0.0
38-0669-03,0.0
38-0669-03,0.004518351283738909
38-0669-03,-0.004450965933790402
38-0669-03,0.0
38-0669-03,0.0
38-0669-03,0.0
38-0669-03,0.0
38-0669-03,0.0041420959834095284
38-0669-03,-0.008170791327522091
38-0669-03,0.00807628318679367
38-0669-03,-0.003922373611316313
38-0669-03,0.0
38-0669-03,0.0035287682834306594
38-0669-03,1.1562151031606966e-17
38-0669-03,0.0
38-0669-03,0.0
38-0669-03,-0.002856152724198471
38-0669-03,0.005452483424450394
38-0669-03,-1.809408311890341e-17
38-0669-03,1.733969199375079e-17
38-0669-03,0.0
38-0669-03,-0.002306581599937263
38-0669-03,-1.5412023969977807e-17
38-0669-03,-0.002141740378231338
38-0669-03,0.0
38-0669-03,0.001998888617928433
38-0669-03,0.0019343781554543677
38-0669-03,-0.001873901425289426
38-0669-03,0.001817091563243874
38-0669-03,-1.2237605956655793e-17
38-0669-03,-0.0017132147103467788
38-0669-03,0.001665606230699789
38-0669-03,-0.001620572191629422
38-0669-03,0.0
38-0669-03,-0.0015505831226263172
38-0669-03,0.003048399437875146
38-0669-03,-0.002997423714317547
38-0669-03,0.0
38-0669-03,0.0028546633780944476
38-0669-03,9.673736642688374e-18
38-0669-03,-0.002724884737375611
38-0669-03,0.0026643220632510084
38-0669-03,-0.0013031964803269472
38-0669-03,0.0025509293035452835
38-0669-03,-0.002497776978489147
38-0669-03,0.002446794454585033
38-0669-03,-0.002397851525033555
38-0669-03,0.0023508281967737255
38-0669-03,-0.0023056137082568657
38-0669-03,0.0
38-0669-03,0.0
38-0669-03,0.001089918256130791
38-0669-03,-0.001070452930043761
38-0669-03,0.0010516706840486808
38-0669-03,0.0031006085461039706
38-0669-03,-0.0040640659354057255
38-0669-03,0.0019981616912440573
38-0669-03,0.0
38-0669-03,0.0
38-0669-03,-0.00285450040533906
38-0669-03,0.0009366312744929085
38-0669-03,0.0
38-0669-03,-1.2604437149248751e-17
38-0669-03,0.0008946877912395285
38-0669-03,0.0017630584597862545
38-0669-03,-0.0017375042315467654
38-0669-03,0.0008563400994667577
38-0669-03,0.0008442775151449323
38-0669-03,-0.0016651005470965494
38-0669-03,1.1395667156098825e-17
38-0669-03,0.0
38-0669-03,0.0015984897468871422
38-0669-03,-0.0007887277138411729
38-0669-03,-0.0007784835451933058
38-0669-03,0.0007685020716254184
38-0669-03,0.0
38-0669-03,0.0007492876148002086
38-0669-03,-0.0007400363357840671
38-0669-03,0.0
38-0669-03,-0.0007222026023848582
38-0669-03,0.000713604222253463
38-0669-03,0.0
38-0669-03,0.0
38-0669-03,0.0006889951625649642
38-0669-03,0.0
38-0669-03,-0.0006735108842726459
38-0669-03,0.0006660268368853476
38-0669-03,1.8282799911488783e-17
38-0669-03,0.0
38-0669-03,-0.0006445404523255992
38-0669-03,0.0
38-0669-03,0.0006309701607901266
38-0669-03,0.0
38-0669-03,0.0
38-0669-03,-0.0006116533417986161
38-0669-03,-1.6805295490140098e-17
38-0669-03,0.0011988388047337525
38-0669-03,-0.0005934841376527114
38-0669-03,0.0005876652588165955
38-0669-03,-0.0005819593757438173
38-0669-03,0.0
38-0669-03,0.0005708736822094643
38-0669-03,-0.001130975438040941
38-0669-03,0.0005602024347518379
38-0669-03,0.0
38-0669-03,0.0005499227175274306
38-0669-03,-0.0005449230968197566
38-0669-03,0.0005400134679358908
38-0669-03,0.0005351916137614894
38-0669-03,-0.0005304550137016535
38-0669-03,-0.001051603221691631
38-0669-03,-0.0005212291417128219
38-0669-03,0.0010334710261230482
38-0669-03,-2.843940101298617e-17
38-0669-03,2.819837469344e-17
38-0669-03,0.0010074155861295002
38-0669-03,-0.000499509980708925
38-0669-03,0.0004953815577372164
38-0669-03,-0.0004913208177543695
38-0669-03,0.0009746522197216987
38-0669-03,-0.0033837708549048755
38-0669-03,0.002877170705415125
38-0669-03,-0.000951444911815329
38-0669-03,-0.0004719750646133868
38-0669-03,-0.0014085040466321275
38-0669-03,0.002335267505671199
38-0669-03,0.00046463226911377166
38-0669-03,-2.559387039958429e-17
38-0669-03,2.5398493797267316e-17
38-0669-03,0.000454072393669868
38-0669-03,-0.0004506583216763051
38-0669-03,0.0
38-0669-03,-0.00044398191395275357
38-0669-03,-0.0004407173468110578
38-0669-03,0.0
38-0669-03,0.0004343301499828878
38-0669-03,0.0
38-0669-03,-0.0004281254441801487
38-0669-03,0.0004250890986750826
38-0669-03,-2.343100816301406e-17
38-0669-03,0.0008382876131269373
38-0669-03,-0.0008324661810613952
38-0669-03,0.0008267250444778081
38-0669-03,-0.00041053127673584973
38-0669-03,-0.0004077385515169508
38-0669-03,-0.0004049835657669015
38-0669-03,0.0012067966788955407
38-0669-03,-0.001598335174082677
38-0669-03,0.001587750189736149
38-0669-03,0.0
38-0669-03,-0.00039174882945451964
38-0669-03,2.1605218161573723e-17
38-0669-03,-0.00038669401366731357
38-0669-03,0.0
38-0669-03,0.0
38-0669-03,0.00037935173340981096
38-0669-03,0.0003769658296810584
38-0669-03,-0.0007492195941402543
38-0669-03,0.000372283031897831
38-0669-03,0.0
38-0669-03,-0.0007354302984290357
38-0669-03,0.00073094588539597
38-0669-03,0.0
38-0669-03,0.00036106961819415396
38-0669-03,-0.0007178150571039828
38-0669-03,0.0007135423560526414
38-0669-03,-3.937518197167459e-17
38-0669-03,-0.0003525738774488071
38-0669-03,-0.0003505120455217007
38-0669-03,0.0006969483766852654
38-0669-03,-0.00034645989016528596
38-0669-03,0.00034446874480067514
38-0669-03,-0.001027501066032357
38-0669-03,0.0003405543339114814
38-0669-03,-0.00033863030138435484
38-0669-03,0.0010101836614914968
38-0669-03,-0.0003348467289325323
38-0669-03,0.00033298647242455804
38-0669-03,0.0
38-0669-03,0.0
38-0669-03,0.0
38-0669-03,0.0
38-0669-03,-0.0006479737052270425
38-0669-03,0.0006444899812421196
38-0669-03,-0.0006410435162775379
38-0669-03,0.0003188168578877047
38-0669-03,0.0
38-0669-03,-3.5023195039224615e-17
38-0669-03,-0.00031380927111830946
38-0669-03,0.0009365245511471966
38-0669-03,-0.0009316720998677966
38-0669-03,0.00092686967378204
38-0669-03,-0.000614744335515164
38-0669-03,0.0
38-0669-03,0.00030425158117011335
38-0669-03,-0.0006054298582264906
38-0669-03,0.0
38-0669-03,0.0
38-0669-03,0.0002981968335671034
38-0669-03,0.0008901617542595732
38-0669-03,-0.0005905178191704529
38-0669-03,0.0005876231290814104
38-0669-03,0.0
38-0669-03,-0.0005819180601179554
38-0669-03,-0.0005791068666438503
38-0669-03,0.000288161351914746
38-0669-03,-0.0005735651836756789
38-0669-03,3.1687648370444865e-17
38-0669-03,0.0002840642780648408
38-0669-03,0.0008481730634936707
38-0669-03,-0.00028139701235164067
38-0669-03,0.0
38-0669-03,0.0002787793701035891
38-0669-03,-0.00027748829068785394
38-0669-03,-0.001936419598890046
38-0669-03,0.002206237824899547
38-0669-03,0.0
38-0669-03,-0.00027367837973641513
38-0669-03,0.00027243443048127205
38-0669-03,-0.0005424034765893241
38-0669-03,0.0
38-0669-03,-0.00026876951938634565
38-0669-03,0.00026756969655455877
38-0669-03,0.0
38-0669-03,0.0
38-0669-03,0.0002640336526732354
38-0669-03,-2.918505984693162e-17
38-0669-03,0.00026172775916023913
38-0669-03,0.0
38-0669-03,-0.00025946179321310246
38-0669-03,0.00025834346039698114
38-0669-03,-0.0002572347266881031
38-0669-03,-0.0005122709380500514
38-0669-03,0.0
38-0669-03,0.0002539649000190984
38-0669-03,0.0005057867056998851
38-0669-03,0.0007554924299658805
38-0669-03,-0.0005015543168279057
38-0669-03,5.545170700135238e-17
38-0669-03,-0.0004973921728378671
38-0669-03,-0.0004953368984380491
38-0669-03,-0.00024664926967154013
38-0669-03,0.0004912768875840578
38-0669-03,0.00024463586929396374
38-0669-03,0.00024364144555396073
38-0669-03,0.0
38-0669-03,0.0004833533119368938
38-0669-03,-0.00024070607757970276
38-0669-03,-5.3233698279194294e-17
38-0669-03,-0.0007163643648844617
38-0669-03,0.000475681195291708
38-0669-03,-0.00023690054488702055
38-0669-03,0.00023596789389365456
38-0669-03,5.2189927751456456e-17
38-0669-03,0.0
38-0669-03,0.0002332134693838785
38-0669-03,0.00046461917257205424
38-0669-03,-0.0011570633239158417
38-0669-03,0.0002305226424718556
38-0669-03,-5.099019483872339e-17
38-0669-03,0.00022876296199540597
38-0669-03,0.0006836794992549294
38-0669-03,-0.00022702996000869795
38-0669-03,-0.000904693072697291
38-0669-03,0.00045064603488946704
38-0669-03,-0.00022447913545006203
38-0669-03,0.00022364155090050656
38-0669-03,0.0004456203871327117
38-0669-03,-0.00022198499425838292
38-0669-03,0.00022116588480842762
38-0669-03,-0.000661058394152518
38-0669-03,-0.0013172740068248467
38-0669-03,4.8571020284177743e-17
38-0669-03,0.0013076941015803228
38-0669-03,0.0010857968435017374
38-0669-03,0.0002163754217427681
38-0669-03,0.00043119422906886834
38-0669-03,-0.00021482438643467564
38-0669-03,-0.0010702858883447567
38-0669-03,-0.0006398862424458117
38-0669-03,0.0
38-0669-03,-0.0004235760748984163
38-0669-03,0.0002110423402287903
38-0669-03,0.0004206037514489802
38-0669-03,4.653313047113531e-17
38-0669-03,0.0004176728230944209
38-0669-03,0.00020811130458527725
38-0669-03,0.0
38-0669-03,0.0
38-0669-03,-0.0002059658418009097
38-0669-03,0.0002052604981507856
38-0669-03,-0.0006136799070152437
38-0669-03,4.526694691030165e-17
38-0669-03,-0.00020317315838772184
38-0669-03,0.00040497356130105087
38-0669-03,0.0002018050248643749
38-0669-03,4.465935277160833e-17
38-0669-03,-4.450999428001732e-17
38-0669-03,0.0
38-0669-03,0.0001991232999350683
38-0669-03,0.0
38-0669-03,0.0007912359540782483
38-0669-03,-0.0019715831773482457
38-0669-03,0.0005895350841171807
38-0669-03,-0.0013725692941608388
38-0669-03,0.0017608755751622692
38-0669-03,-0.0001952264402195926
38-0669-03,0.000194592621320251
38-0669-03,-4.306841652079647e-17
38-0669-03,0.000193337250346047
38-0669-03,0.0
38-0669-03,-0.0001920979730397967
38-0669-03,0.0001914842731093595
38-0669-03,-0.0003817489637901144
38-0669-03,0.00019026856217284262
38-0669-03,-4.211441799514403e-17
38-0669-03,0.0001890681906571409
38-0669-03,-0.00018847365490119895
38-0669-03,0.0001878828582944689
38-0669-03,-0.0003745915079605693
38-0669-03,0.00018671231907340836
38-0669-03,0.00018613249618383936
38-0669-03,-0.000185556263349593
38-0669-03,0.00018498358733119364
38-0669-03,0.00018441443529808286
38-0669-03,-0.0005515462906673266
38-0669-03,0.0005498596544327378
38-0669-03,-0.0003654555348423077
38-0669-03,0.00018217239119114326
38-0669-03,-0.0009081019035632313
38-0669-03,0.0010864302328908474
38-0669-03,0.0014442107698046192
38-0669-03,-0.0010799055082679875
38-0669-03,-0.0010766724147017155
38-0669-03,3.9725946911218055e-17
38-0669-03,0.0005351319474842719
38-0669-03,-0.00017784803170249865
38-0669-03,0.0007092875171426328
38-0669-03,0.00017679883086463253
38-0669-03,3.914176961499486e-17
38-0669-03,0.0001757619367840754
38-0669-03,-0.0003504960746192515
38-0669-03,3.8799437927434346e-17
38-0669-03,0.00034845840260392156
38-0669-03,-0.0005211721253752323
38-0669-03,-0.0020806660350689344
38-0669-03,0.0022497139834780065
38-0669-03,-0.00017272245010712452
38-0669-03,0.0
38-0669-03,0.0003434653316397824
38-0669-03,0.0005137260757766706
38-0669-03,-0.00017075418023306747
38-0669-03,-0.00017026911658193998
38-0669-03,-0.00016978680097781744
38-0669-03,-0.00016930721013383803
38-0669-03,0.00016883030202275977
38-0669-03,7.47651154740381e-17
38-0669-03,-7.45556953222111e-17
38-0669-03,0.00016741557232693148
38-0669-03,0.0
38-0669-03,0.0001664855304095627
38-0669-03,0.0
38-0669-03,0.00016556576470851318
38-0669-03,0.0001651096823619749
38-0669-03,-0.00032931221168712243
38-0669-03,0.00016420501455839852
38-0669-03,-0.00016375638813668318
38-0669-03,-0.0003266204128612307
38-0669-03,0.0004885993485341481
38-0669-03,-0.00016242509766619336
38-0669-03,-0.00016198613139535662
38-0669-03,0.00016154953140941138
38-0669-03,-0.00016111527862637203
38-0669-03,0.0001606833541686619
38-0669-03,0.0003205074787215444
38-0669-03,-0.00015982641572646124
38-0669-03,0.000478204094957324
38-0669-03,-0.000635914242512998
38-0669-03,0.00031711600330670977
38-0669-03,-0.00031627932377164734
38-0669-03,0.0001577235320986141
38-0669-03,-0.0001573095783285118
38-0669-03,0.0003137955835154048
38-0669-03,6.949470128759434e-17
38-0669-03,-0.00015608065249209826
38-0669-03,0.0001556752582976687
38-0669-03,-0.0003105439290783573
38-0669-03,0.00015487075493451365
38-0669-03,-0.00030894324264661477
38-0669-03,0.0003081490794431099
38-0669-03,0.0001536794943453375
38-0669-03,-0.0004598594322125984
38-0669-03,0.0007644766263055124
38-0669-03,-0.0030526746645046974
38-0669-03,0.0027427144868756733
38-0669-03,0.0
38-0669-03,0.0001517282837756391
38-0669-03,-0.00030269032675878197
38-0669-03,-0.00015096397290074252
38-0669-03,0.0
38-0669-03,0.0001502073236585298
38-0669-03,-0.00014983182875545498
38-0669-03,0.00014945821397432656
38-0669-03,0.0002981729156420786
38-0669-03,-0.00014871655383285625
38-0669-03,0.00014834847353127815
38-0669-03,-0.00014798221076252926
38-0669-03,6.555545088883789e-17
38-0669-03,-6.539439079642947e-17
38-0669-03,-0.00014689417963638645
38-0669-03,-0.00014653504693369404
38-0669-03,0.00043853301934370807
38-0669-03,-0.0002916440764026146
38-0669-03,0.0
38-0669-03,0.00014511593457133682
38-0669-03,-0.00014476544788480077
38-0669-03,0.0002888332863417946
38-0669-03,-0.00014406951527000004
38-0669-03,-0.00028744809046793093
38-0669-03,0.0002867604698398563
38-0669-03,0.00014303806557600796
38-0669-03,-0.00028539505096432643
38-0669-03,0.00028471720605857367
38-0669-03,-0.0001420212867184598
38-0669-03,-6.292103067890092e-17
38-0669-03,6.277264355863845e-17
38-0669-03,-6.262495467654682e-17
38-0669-03,0.0002813757133929808
38-0669-03,-0.0001403582907373058
38-0669-03,-0.002662648589805269
38-0669-03,0.0025185814174118856
38-0669-03,-0.00013970376282770053
38-0669-03,6.189666093944196e-17
38-0669-03,0.00013905552375811537
38-0669-03,-0.0001387336613366891
38-0669-03,0.0001384132854608379
38-0669-03,-6.132622669934293e-17
38-0669-03,0.00027555391733651935
38-0669-03,-0.0006873049056387493
38-0669-03,0.0004114393487883824
38-0669-03,6.076621336287967e-17
38-0669-03,0.00013652167882345206
38-0669-03,-0.00013621142628623552
38-0669-03,0.00013590258068133047
38-0669-03,0.0
38-0669-03,0.00013528907216041032
38-0669-03,-0.00013498439040501875
38-0669-03,0.0001346810779011368
38-0669-03,-0.0001343791254391362
38-0669-03,-0.000268157047784007
38-0669-03,0.0
38-0669-03,0.0001334813374403317
38-0669-03,-5.914590359050896e-17
38-0669-03,5.901476957900924e-17
38-0669-03,0.00013259546608359742
38-0669-03,-0.00013230278285666127
38-0669-03,0.0001320113888865275
38-0669-03,-0.00013172127567317923
38-0669-03,0.0001314324347911557
38-0669-03,-0.0001311448578888529
38-0669-03,0.00013085853668754307
38-0669-03,-0.000130573457297496
38-0669-03,0.00013028962297444702
38-0669-03,0.00013000701994570602
38-0669-03,-0.0001297256458261409
38-0669-03,-1.1497068314854456e-16
38-0669-03,1.1472291968272121e-16
38-0669-03,0.00012888876744707108
38-0669-03,-0.0002572243936010804
38-0669-03,0.00012833681054795975
38-0669-03,0.0
38-0669-03,-0.00012778956636531763
38-0669-03,0.00012751769339879588
38-0669-03,0.00025449394959719076
38-0669-03,-0.00038093220968491115
38-0669-03,0.0
38-0669-03,0.00012644167746974532
38-0669-03,0.0
38-0669-03,0.0
38-0669-03,0.0
38-0669-03,-1.1136305950421612e-16
38-0669-03,1.1113058532659326e-16
38-0669-03,0.0001248612635286035
38-0669-03,-1.1066853665154192e-16
38-0669-03,-0.00012434320365532284
38-0669-03,0.0
38-0669-03,0.0
38-0669-03,-0.00012357412451753064
38-0669-03,-0.00012331987461321593
38-0669-03,0.00012306666878334515
38-0669-03,0.0002456290012196438
38-0669-03,-0.0003676900911809195
38-0669-03,0.0003669397554639133
38-0669-03,-0.00012206415863060685
38-0669-03,0.00012181607794381453
38-0669-03,-1.0797496550177124e-16
38-0669-03,-0.00012132292948765274
38-0669-03,0.0002421556990919742
38-0669-03,-0.00024166750578992407
38-0669-03,0.00048236255390546963
38-0669-03,-0.0004813940014937125
38-0669-03,-0.00012010734233392417
38-0669-03,0.00023973429768305883
38-0669-03,-0.00011962791412096818
38-0669-03,0.00023877925538358033
38-0669-03,-0.00011915228865932752
38-0669-03,1.0561852430063488e-16
38-0669-03,-0.00023736084176707403
38-0669-03,0.00011844588574666435
38-0669-03,-0.00011821228041186269
38-0669-03,0.0002359591894425096
38-0669-03,-0.00011774782325490473
38-0669-03,0.00011751696063527855
38-0669-03,1.0417178366789354e-16
38-0669-03,-0.00023411589040933737
38-0669-03,0.0003504893454354581
38-0669-03,-0.00011660250613770333
38-0669-03,-0.00011637610398244993
38-0669-03,0.0
38-0669-03,0.0
38-0669-03,0.00011570214657558043
38-0669-03,1.0256615859271992e-16
38-0669-03,0.00023051433511018924
38-0669-03,-0.00011503595909049051
38-0669-03,-0.00022963119622465412
38-0669-03,0.00022919215951955127
38-0669-03,-0.00011437739920895835
38-0669-03,0.0001141595516726468
38-0669-03,-0.00011394253240006566
38-0669-03,-1.010092779878951e-16
38-0669-03,0.00011351095982374176
38-0669-03,-0.00011329639719716561
38-0669-03,-0.00011308263992632898
38-0669-03,0.00011286968773164948
38-0669-03,1.0005999235732683e-16
38-0669-03,0.00011244618466153594
38-0669-03,0.0
38-0669-03,-0.00011202585198184755
38-0669-03,0.0001118168618709906
38-0669-03,-0.00022321730014431885
38-0669-03,0.00011140121638249214
38-0669-03,-9.876060176491609e-17
38-0669-03,0.0001109886536299765
38-0669-03,-0.00033235053587083986
38-0669-03,0.000331737381649839
38-0669-03,-0.00011037549522729007
38-0669-03,0.00011017261183790764
38-0669-03,0.00010997046889688742
38-0669-03,-0.00010976906637461029
38-0669-03,0.0002191368004208062
38-0669-03,-0.0005468423518026062
38-0669-03,0.0003275078064214047
38-0669-03,0.0
38-0669-03,0.0
38-0669-03,0.0
38-0669-03,0.0
38-0669-03,0.0
38-0669-03,0.0
38-0669-03,-0.00010779492016432748
38-0669-03,0.00010760140437042964
38-0669-03,-0.00010740858213908422
38-0669-03,9.52273369031542e-17
38-0669-03,-0.0005351249984214649
38-0669-03,0.0010683423212380016
38-0669-03,-0.00010664414342361121
38-0669-03,-0.00031936421256443186
38-0669-03,-0.00010626600321734501
38-0669-03,9.421613440118371e-17
38-0669-03,0.00010589053142745687
38-0669-03,0.0004228151476486824
38-0669-03,-0.0007386234317310474
38-0669-03,-0.0018970827679997192
38-0669-03,0.00221066229091213
38-0669-03,0.0
38-0669-03,0.0
38-0669-03,0.0
38-0669-03,0.0
38-0669-03,9.273778466374274e-17
38-0669-03,0.00010423188759868364
38-0669-03,9.241580168599207e-17
38-0669-03,0.0
38-0669-03,-0.00010369093051726054
38-0669-03,-0.00010351185712800077
38-0669-03,0.00010333340118896796
38-0669-03,0.00020631111902435757
38-0669-03,-9.146312945376127e-17
38-0669-03,-0.00020560340555995948
38-0669-03,0.00010262568148159608
38-0669-03,0.0
38-0669-03,-9.083884271040208e-17
38-0669-03,9.068410266605949e-17
38-0669-03,-0.00010192759349159024
38-0669-03,0.0001017545537707016
38-0669-03,0.0
38-0669-03,0.00010141023438164374
38-0669-03,-0.00030371684626898283
38-0669-03,0.00010106824077077123
38-0669-03,0.0
38-0669-03,0.00010072853930618442
38-0669-03,8.93148164029233e-17
38-0669-03,0.0
38-0669-03,-0.00010022324393512409
38-0669-03,0.0001000559346026741
38-0669-03,-9.988918294047923e-05
38-0669-03,0.00019944597895962395
38-0669-03,9.955734811882745e-05
38-0669-03,-0.00019878451222154808
38-0669-03,-9.92277107274417e-05
38-0669-03,0.0
38-0669-03,9.890024901107999e-05
38-0669-03,0.0
38-0669-03,-9.85749415007339e-05
38-0669-03,0.00019682617788163657
38-0669-03,-9.825176700884932e-05
38-0669-03,9.809097309967335e-05
38-0669-03,-9.793070462507578e-05
38-0669-03,9.777095582738647e-05
38-0669-03,-9.761172735919859e-05
38-0669-03,-9.74530166825272e-05
38-0669-03,9.729482758646304e-05
38-0669-03,-9.713715121411571e-05
38-0669-03,0.00019395997015341843
38-0669-03,-9.682332357671609e-05
38-0669-03,-9.66671674026261e-05
38-0669-03,0.0001930230282263152
38-0669-03,-9.635636128311268e-05
38-0669-03,9.620170650277799e-05
38-0669-03,9.604754737788602e-05
38-0669-03,-0.00019178776305847205
38-0669-03,9.574070659325402e-05
38-0669-03,-9.558802022118896e-05
38-0669-03,9.543581704316573e-05
38-0669-03,-9.528409779564897e-05
38-0669-03,8.449495341107195e-17
38-0669-03,0.0
38-0669-03,0.0001896636533221324
38-0669-03,9.46820232070795e-05
38-0669-03,-0.000189065384576376
38-0669-03,-8.382968245976773e-17
38-0669-03,9.42354391404761e-05
38-0669-03,-0.00018817502497786164
38-0669-03,-8.34355247355071e-17
38-0669-03,8.330496122080706e-17
38-0669-03,9.364650597865834e-05
38-0669-03,-8.304505623537248e-17
38-0669-03,-9.33547941482706e-05
38-0669-03,9.32096172439761e-05
38-0669-03,0.0
38-0669-03,-9.29206109529655e-05
38-0669-03,9.277678027271046e-05
38-0669-03,8.227498164702039e-17
38-0669-03,9.249045059215123e-05
38-0669-03,-9.234794748840215e-05
38-0669-03,0.0
38-0669-03,9.206425458936479e-05
38-0669-03,-9.192306076578029e-05
38-0669-03,9.178229936131872e-05
38-0669-03,-9.164196839253244e-05
38-0669-03,9.15020658880044e-05
38-0669-03,-0.0001827251797766755
38-0669-03,0.000273670465547387
38-0669-03,-0.002369397805700674
38-0669-03,0.0020938756050351897
38-0669-03,0.0
38-0669-03,9.080790613581265e-05
38-0669-03,0.0
38-0669-03,0.0
38-0669-03,0.0
38-0669-03,9.02609108969761e-05
38-0669-03,-9.01251901980584e-05
38-0669-03,0.0
38-0669-03,8.985496420383892e-05
38-0669-03,-0.00017944091593827122
38-0669-03,0.00017917271834955514
38-0669-03,-8.945266063814388e-05
38-0669-03,8.931936056995237e-05
38-0669-03,-8.918645453976643e-05
38-0669-03,0.0
38-0669-03,0.0
38-0669-03,0.0
38-0669-03,-8.865876226511486e-05
38-0669-03,0.00026558344034133795
38-0669-03,-8.83972508808075e-05
38-0669-03,-1.5679381856864266e-16
38-0669-03,1.5656325602726777e-16
38-0669-03,-1.5633336598036042e-16
38-0669-03,8.787882400685625e-05
38-0669-03,-0.00017550032950192725
38-0669-03,8.762188423146457e-05
38-0669-03,1.5542052662977662e-16
38-0669-03,8.736644509948905e-05
38-0669-03,-0.00043619641610562627
38-0669-03,0.0003484499638918341
38-0669-03,-8.698606674559807e-05
38-0669-03,0.00017372001787901368
